Timestamp,Time (ms)
1691249052216,29.7
1691249052416,17.7
1691249052616,237.0
1691249052816,37.0
1691249053016,21.3
1691249053216,22.8
1691249053416,24.6
1691249053616,17.6
1691249053816,23.9
1691249054016,25.1
1691249054216,22.9
1691249054416,34.4
1691249054616,343.0
1691249054816,650.0
1691249055016,487.0
1691249055216,72.0
1691249055416,280.0
1691249055616,106.0
1691249055816,30.2
1691249056016,49.8
1691249056216,33.2
1691249056416,31.0
1691249056616,37.6
1691249056816,30.1
1691249057016,36.8
1691249057216,33.4
1691249057416,21.2
1691249057616,18.5
1691249057816,19.8
1691249058016,21.9
1691249058216,26.9
1691249058416,141.0
1691249058616,19.0
1691249058816,13.9
1691249059016,18.2
1691249059216,15.1
1691249059416,14.4
1691249059616,147.0
1691249059816,45.5
1691249060016,24.3
1691249060216,17.0
1691249060416,19.6
1691249060616,18.4
1691249060816,20.4
1691249061016,27.2
1691249061216,24.8
1691249061416,20.8
1691249061616,16.6
1691249061816,185.0
1691249062016,54.3
1691249062216,106.0
1691249062416,27.1
1691249062616,168.0
1691249062816,33.4
1691249063016,28.8
1691249063216,32.0
1691249063416,89.8
1691249063616,25.8
1691249063816,21.9
1691249064016,30.9
1691249064216,32.4
1691249064416,72.5
1691249064616,34.7
1691249064816,33.1
1691249065016,1137.0
1691249065216,514.0
1691249065416,306.0
1691249065616,1553.0
1691249065816,1346.0
1691249066016,722.0
1691249066216,929.0
1691249066416,98.4
1691249066616,33.3
1691249066816,54.3
1691249067016,30.2
1691249067216,51.1
1691249067416,28.3
1691249067616,42.3
1691249067816,25.3
1691249068016,41.4
1691249068216,32.3
1691249068416,41.2
1691249068616,59.5
1691249068816,61.0
1691249069016,30.2
1691249069216,39.5
1691249069416,29.4
1691249069616,33.1
1691249069816,25.3
1691249070016,31.4
1691249070216,27.8
1691249070416,33.8
1691249070616,34.4
1691249070816,41.1
1691249071016,32.2
1691249071216,38.3
1691249071416,47.4
1691249071616,28.4
1691249071816,28.0
1691249072016,28.5
1691249072216,52.3
1691249072416,36.2
1691249072616,43.6
1691249072816,45.8
1691249073016,41.6
1691249073216,35.3
1691249073416,39.3
1691249073616,39.4
1691249073816,53.8
1691249074016,31.3
1691249074216,59.5
1691249074416,28.1
1691249074616,35.4
1691249074816,26.5
1691249075016,50.0
1691249075216,36.5
1691249075416,49.3
1691249075616,43.5
1691249075816,49.2
1691249076016,31.0
1691249076216,45.8
1691249076416,31.5
1691249076616,44.3
1691249076816,28.4
1691249077016,42.0
1691249077216,25.4
1691249077416,41.4
1691249077616,34.4
1691249077816,38.4
1691249078016,32.0
1691249078216,39.6
1691249078416,30.2
1691249078616,43.2
1691249078816,29.4
1691249079016,33.2
1691249079216,25.9
1691249079416,40.9
1691249079616,26.3
1691249079816,35.6
1691249080016,34.3
1691249080216,42.3
1691249080416,31.3
1691249080616,31.7
1691249080816,32.1
1691249081016,29.3
1691249081216,29.3
1691249081416,29.4
1691249081616,27.2
1691249827275,34.0
1691249827475,33.6
1691249827675,33.2
1691249827875,33.1
1691249828075,31.2
1691249828275,29.3
1691249828475,29.2
1691249828675,28.0
1691249828875,26.4
1691249829075,27.1
1691249829275,35.5
1691249829475,33.3
1691249829675,44.3
1691249829875,33.5
1691249830075,39.5
1691249830275,30.4
1691249830475,37.4
1691249830675,29.4
1691249830875,27.0
1691249831075,26.2
1691249831275,35.3
1691249831475,34.2
1691249831675,34.2
1691249831875,32.5
1691249832075,39.1
1691249832275,30.3
1691249832475,29.3
1691249832675,27.4
1691249832875,27.2
1691249833075,58.5
1691249833275,54.1
1691249833475,54.3
1691249833675,34.4
1691249833875,33.2
1691249834075,31.2
1691249834275,29.3
1691249834475,28.2
1691249834675,27.3
1691249834875,26.3
1691249835075,35.2
1691249835275,35.2
1691249835475,44.4
1691249835675,33.2
1691249835875,29.3
1691249836075,30.2
1691249836275,29.5
1691249836475,29.3
1691249836675,27.3
1691249836875,35.1
1691249837075,36.3
1691249837275,34.2
1691249837475,33.3
1691249837675,42.4
1691249837875,27.3
1691249838075,39.3
1691249838275,29.5
1691249838475,28.2
1691249838675,28.2
1691249838875,26.5
1691249839075,27.3
1691249839275,42.6
1691249839475,42.1
1691249839675,34.5
1691249839875,24.4
1691249840075,42.2
1691249840275,57.4
1691249840475,30.2
1691249840675,29.4
1691249840875,27.3
1691249841075,37.0
1691249841275,27.4
1691249841475,25.3
1691249841675,45.2
1691249841875,33.2
1691249842075,33.2
1691249842275,32.2
1691249842475,31.4
1691249842675,30.4
1691249842875,29.4
1691249843075,30.1
1691249843275,28.4
1691249843475,27.2
1691249843675,26.3
1691249843875,25.3
1691249844075,43.9
1691249844275,34.5
1691249844475,33.4
1691249844675,33.2
1691249844875,31.3
1691249845075,32.3
1691249845275,31.2
1691249845475,32.3
1691249845675,28.5
1691249845875,30.0
1691249846075,28.6
1691249846275,28.1
1691249846475,26.4
1691249846675,36.2
1691249846875,34.2
1691249847075,35.3
1691249847275,33.4
1691249847475,31.3
1691249847675,31.2
1691249847875,39.3
1691249848075,28.4
1691249848275,28.2
1691249848475,45.3
1691249848675,36.4
1691249848875,42.9
1691249849075,51.5
1691249849275,41.4
1691249849475,34.1
1691249849675,31.1
1691249849875,29.2
1691249850075,29.3
1691249850275,28.3
1691249850475,27.5
1691249850675,27.0
1691249850875,35.6
1691249851075,32.3
1691249851275,32.2
1691249851475,39.3
1691249851675,31.3
1691249851875,29.2
1691249852075,28.3
1691249852275,29.4
1691249852475,34.3
1691249852675,33.3
1691249852875,35.4
1691249853075,39.0
1691249853275,33.3
1691249853475,32.4
1691249853675,31.2
1691249853875,32.4
1691249854075,28.3
1691249854275,27.6
1691249854475,27.3
1691249854675,26.1
1691249854875,35.4
1691249855075,34.1
1691249855275,33.4
1691249855475,31.2
1691249855675,29.3
1691249855875,31.4
1691249856075,54.3
1691249856275,36.5
1691249856475,36.3
1691249856675,36.1
1691249856875,44.5
1691249857075,35.1
1691250218416,28.3
1691250218616,36.4
1691250218816,26.1
1691250219016,30.4
1691250219216,34.3
1691250219416,34.1
1691250219616,32.3
1691250219816,31.3
1691250220016,30.0
1691250220216,40.3
1691250220416,28.5
1691250220616,27.1
1691250220816,26.3
1691250221016,26.3
1691250221216,45.3
1691250221416,34.4
1691250221616,43.2
1691250221816,32.5
1691250222016,29.3
1691250222216,29.1
1691250222416,28.5
1691250222616,26.2
1691250222816,27.4
1691250223016,36.2
1691250223216,35.3
1691250223416,33.4
1691250223616,32.2
1691250223816,31.4
1691250224016,29.4
1691250224216,30.1
1691250224416,28.4
1691250224616,27.9
1691250224816,27.5
1691250225016,36.2
1691250225216,43.2
1691250225416,33.3
1691250225616,33.3
1691250225816,42.4
1691250226016,30.3
1691250226216,30.2
1691250226416,28.4
1691250226616,26.2
1691250226816,26.2
1691250227016,25.3
1691250227216,34.1
1691250227416,42.2
1691250227616,33.3
1691250227816,30.3
1691250228016,41.3
1691250228216,30.3
1691250228416,29.1
1691250228616,27.1
1691250228816,27.5
1691250229016,26.2
1691250229216,42.3
1691250229416,33.2
1691250229616,58.1
1691250229816,31.6
1691250230016,49.3
1691250230216,55.1
1691250230416,36.5
1691250230616,45.2
1691250230816,26.3
1691250231016,26.6
1691250231216,46.3
1691250231416,34.1
1691250231616,34.2
1691250231816,42.2
1691250232016,49.4
1691250232216,40.2
1691250232416,39.2
1691250232616,28.3
1691250232816,28.4
1691250233016,27.2
1691250233216,26.3
1691250233416,42.3
1691250233616,44.1
1691250233816,42.5
1691250234016,44.0
1691250234216,30.2
1691250234416,31.4
1691250234616,40.3
1691250234816,28.3
1691250235016,38.2
1691250235216,26.2
1691250235416,28.2
1691250235616,43.4
1691250235816,35.4
1691250236016,52.4
1691250236216,31.0
1691250236416,29.4
1691250236616,28.1
1691250236816,29.2
1691250237016,27.3
1691250237216,25.3
1691250237416,44.3
1691250237616,43.2
1691250237816,42.5
1691250238016,91.2
1691250238216,50.1
1691250238416,65.3
1691250238616,47.3
1691250238816,65.1
1691250239016,46.4
1691250239216,64.3
1691250239416,57.2
1691250239616,72.3
1691250239816,56.3
1691250240016,77.5
1691250240216,46.1
1691250240416,91.6
1691250240616,82.2
1691250240816,70.2
1691250241016,55.5
1691250241216,93.2
1691250241416,71.4
1691250241616,124.0
1691250241816,41.8
1691250242016,59.3
1691250242216,48.2
1691250242416,67.5
1691250242616,52.3
1691250242816,59.4
1691250243016,43.5
1691250243216,51.3
1691250243416,49.2
1691250243616,50.2
1691250243816,41.4
1691250244016,48.5
1691250244216,38.1
1691250244416,47.5
1691250244616,24.2
1691250244816,290.0
1691250245016,84.0
1691250245216,38.2
1691250245416,38.4
1691250245616,33.1
1691250245816,35.5
1691250246016,35.2
1691250246216,53.4
1691250246416,50.6
1691250246616,49.2
1691250246816,43.4
1691250247016,57.3
1691250247216,50.5
1691250247416,44.2
1691250247616,48.6
1691250247816,59.1
1691250248016,40.4
1691250573861,26.4
1691250574061,24.3
1691250574261,45.3
1691250574461,33.2
1691250574661,32.2
1691250574861,48.1
1691250575061,30.5
1691250575261,39.2
1691250575461,38.2
1691250575661,26.5
1691250575861,40.1
1691250576061,25.2
1691250576261,33.2
1691250576461,32.5
1691250576661,42.4
1691250576861,42.3
1691250577061,37.3
1691250577261,28.3
1691250577461,29.4
1691250577661,26.3
1691250577861,26.1
1691250578061,35.4
1691250578261,34.3
1691250578461,33.5
1691250578661,40.1
1691250578861,42.6
1691250579061,40.3
1691250579261,46.2
1691250579461,46.2
1691250579661,38.5
1691250579861,35.3
1691250580061,24.5
1691250580261,51.3
1691250580461,42.2
1691250580661,51.4
1691250580861,31.3
1691250581061,48.5
1691250581261,46.4
1691250581461,29.0
1691250581661,27.3
1691250581861,25.2
1691250582061,41.2
1691250582261,34.5
1691250582461,31.4
1691250582661,31.2
1691250582861,32.2
1691250583061,37.2
1691250583261,30.4
1691250583461,28.4
1691250583661,26.3
1691250583861,25.2
1691250584061,25.4
1691250584261,33.4
1691250584461,40.2
1691250584661,31.1
1691250584861,31.4
1691250585061,39.1
1691250585261,28.1
1691250585461,27.3
1691250585661,27.3
1691250585861,27.3
1691250586061,24.4
1691250586261,34.4
1691250586461,34.1
1691250586661,41.4
1691250586861,31.2
1691250587061,30.2
1691250587261,39.4
1691250587461,28.5
1691250587661,27.2
1691250587861,27.4
1691250588061,26.2
1691250588261,26.3
1691250588461,24.0
1691250588661,33.2
1691250588861,32.8
1691250589061,53.6
1691250589261,49.4
1691250589461,32.2
1691250589661,50.5
1691250589861,39.9
1691250590061,38.2
1691250590261,38.2
1691250590461,29.3
1691250590661,30.4
1691250590861,26.4
1691250591061,41.3
1691250591261,33.2
1691250591461,34.3
1691250591661,49.4
1691250591861,39.2
1691250592061,24.5
1691250592261,33.3
1691250592461,32.1
1691250592661,31.3
1691250592861,30.2
1691250593061,39.8
1691250593261,47.0
1691250593461,48.3
1691250593661,46.3
1691250593861,46.3
1691250594061,26.3
1691250594261,25.2
1691250594461,24.3
1691250594661,52.5
1691250594861,32.2
1691250595061,31.2
1691250595261,31.2
1691250595461,30.3
1691250595661,28.6
1691250595861,28.2
1691250596061,44.8
1691250596261,26.4
1691250596461,41.2
1691250596661,24.3
1691250596861,34.3
1691250597061,33.3
1691250597261,42.5
1691250597461,48.2
1691250597661,30.2
1691250597861,38.3
1691250598061,27.2
1691250598261,26.3
1691250598461,25.3
1691250598661,36.2
1691250598861,33.1
1691250599061,32.3
1691250599261,46.3
1691250599461,31.3
1691250599661,29.6
1691250599861,38.1
1691250600061,27.2
1691250600261,26.3
1691250600461,25.3
1691250600661,43.2
1691250600861,33.2
1691250601061,32.2
1691250601261,31.3
1691250601461,42.3
1691250601661,31.4
1691250601861,37.2
1691250602061,48.4
1691250602261,25.4
1691250602461,26.3
1691250602661,24.5
1691250602861,41.1
1691250603061,50.4
1691250603261,46.1
1691250603461,41.4
1691250603661,30.3
1691250879389,43.3
1691250879589,42.4
1691250879789,41.2
1691250879989,48.6
1691250880189,40.7
1691250880389,39.4
1691250880589,47.5
1691250880789,54.8
1691250880989,47.6
1691250881189,53.4
1691250881389,46.4
1691250881589,52.2
1691250881789,43.4
1691250881989,41.5
1691250882189,40.3
1691250882389,39.2
1691250882589,38.7
1691250882789,49.3
1691250882989,38.9
1691250883189,47.2
1691250883389,46.3
1691250883589,52.2
1691250883789,44.5
1691250883989,43.4
1691250884189,42.2
1691250884389,51.3
1691250884589,58.3
1691250884789,49.2
1691250884989,58.5
1691250885189,46.9
1691250885389,45.2
1691250885589,42.4
1691250885789,52.2
1691250885989,43.3
1691250886189,40.2
1691250886389,49.8
1691250886589,51.0
1691250886789,48.2
1691250886989,46.3
1691250887189,47.5
1691250887389,47.1
1691250887589,46.3
1691250887789,46.2
1691250887989,44.4
1691250888189,41.4
1691250888389,41.3
1691250888589,40.6
1691250888789,50.1
1691250888989,59.1
1691250889189,49.4
1691250889389,46.4
1691250889589,45.1
1691250889789,55.2
1691250889989,47.5
1691250890189,44.2
1691250890389,56.5
1691250890589,42.1
1691250890789,50.0
1691250890989,60.4
1691250891189,48.2
1691250891389,48.4
1691250891589,57.4
1691250891789,49.2
1691250891989,58.5
1691250892189,43.1
1691250892389,48.4
1691250892589,52.2
1691250892789,48.4
1691250892989,52.3
1691250893189,49.3
1691250893389,48.3
1691250893589,51.6
1691250893789,49.1
1691250893989,61.4
1691250894189,47.2
1691250894389,52.6
1691250894589,43.1
1691250894789,43.3
1691250894989,42.0
1691250895189,54.6
1691250895389,56.1
1691250895589,59.5
1691250895789,42.1
1691250895989,49.3
1691250896189,56.4
1691250896389,62.3
1691250896589,48.4
1691250896789,61.4
1691250896989,56.4
1691250897189,42.2
1691250897389,53.4
1691250897589,71.4
1691250897789,50.1
1691250897989,52.4
1691250898189,55.2
1691250898389,56.4
1691250898589,49.3
1691250898789,43.3
1691250898989,53.4
1691250899189,41.2
1691250899389,53.4
1691250899589,53.6
1691250899789,51.0
1691250899989,55.4
1691250900189,56.5
1691250900389,50.8
1691250900589,52.4
1691250900789,43.4
1691250900989,51.3
1691250901189,54.2
1691250901389,54.5
1691250901589,54.1
1691250901789,60.3
1691250901989,54.4
1691250902189,57.3
1691250902389,45.4
1691250902589,69.4
1691250902789,63.9
1691250902989,56.6
1691250903189,55.2
1691250903389,41.4
1691250903589,60.4
1691250903789,59.3
1691250903989,55.7
1691250904189,49.1
1691250904389,57.1
1691250904589,78.4
1691250904789,68.0
1691250904989,45.6
1691250905189,60.4
1691250905389,46.3
1691250905589,65.2
1691250905789,44.3
1691250905989,66.3
1691250906189,42.3
1691250906389,40.4
1691250906589,49.3
1691250906789,47.3
1691250906989,46.3
1691250907189,52.3
1691250907389,43.3
1691250907589,44.3
1691250907789,42.3
1691250907989,40.3
1691250908189,39.5
1691250908389,56.2
1691250908589,49.4
1691250908789,47.6
1691250908989,48.2
1691250909189,55.2
1691251187022,32.3
1691251187222,30.3
1691251187422,38.7
1691251187622,38.8
1691251187822,34.3
1691251188022,40.0
1691251188222,33.7
1691251188422,28.4
1691251188622,36.8
1691251188822,34.8
1691251189022,41.1
1691251189222,35.1
1691251189422,34.7
1691251189622,34.9
1691251189822,32.0
1691251190022,33.8
1691251190222,27.8
1691251190422,40.2
1691251190622,35.9
1691251190822,28.7
1691251191022,28.7
1691251191222,32.1
1691251191422,30.1
1691251191622,32.7
1691251191822,26.2
1691251192022,31.3
1691251192222,38.3
1691251192422,33.7
1691251192622,39.0
1691251192822,32.7
1691251193022,37.1
1691251193222,39.7
1691251193422,36.4
1691251193622,34.3
1691251193822,33.3
1691251194022,32.7
1691251194222,33.5
1691251194422,39.3
1691251194622,33.8
1691251194822,32.9
1691251195022,33.2
1691251195222,32.8
1691251195422,41.5
1691251195622,34.6
1691251195822,36.3
1691251196022,30.2
1691251196222,39.3
1691251196422,36.4
1691251196622,32.4
1691251196822,30.6
1691251197022,32.9
1691251197222,33.3
1691251197422,34.5
1691251197622,31.5
1691251197822,39.4
1691251198022,28.8
1691251198222,37.1
1691251198422,34.3
1691251198622,33.7
1691251198822,36.6
1691251199022,40.9
1691251199222,40.2
1691251199422,35.8
1691251199622,38.9
1691251199822,38.3
1691251200022,32.3
1691251200222,65.8
1691251200422,33.5
1691251200622,47.5
1691251200822,33.9
1691251201022,35.7
1691251201222,26.9
1691251201422,37.4
1691251201622,34.3
1691251201822,28.9
1691251202022,35.5
1691251202222,29.5
1691251202422,44.1
1691251202622,38.1
1691251202822,37.7
1691251203022,39.1
1691251203222,44.4
1691251203422,40.2
1691251203622,38.7
1691251203822,28.4
1691251204022,31.8
1691251204222,30.4
1691251204422,43.7
1691251204622,29.8
1691251204822,33.1
1691251205022,32.2
1691251205222,31.3
1691251205422,55.8
1691251205622,29.8
1691251205822,28.2
1691251206022,37.7
1691251206222,27.5
1691251206422,26.7
1691251206622,31.4
1691251206822,42.4
1691251207022,41.5
1691251207222,29.0
1691251207422,42.8
1691251207622,26.9
1691251207822,32.2
1691251208022,30.3
1691251208222,45.8
1691251208422,29.3
1691251208622,27.7
1691251208822,28.3
1691251209022,27.4
1691251209222,35.7
1691251209422,30.1
1691251209622,34.0
1691251209822,33.5
1691251210022,38.5
1691251210222,40.6
1691251210422,35.8
1691251210622,31.7
1691251210822,30.2
1691251211022,34.7
1691251211222,28.3
1691251211422,37.4
1691251211622,32.9
1691251211822,36.2
1691251212022,35.7
1691251212222,31.4
1691251212422,35.4
1691251212622,34.3
1691251212822,32.9
1691251213022,32.8
1691251213222,31.8
1691251213422,26.9
1691251213622,37.9
1691251213822,32.4
1691251214022,31.7
1691251214222,36.6
1691251214422,30.5
1691251214622,30.3
1691251214822,32.9
1691251215022,33.6
1691251215222,27.5
1691251215422,32.0
1691251215622,26.5
1691251215822,30.0
1691251216022,34.8
1691251216222,30.4
1691251216422,34.2
1691251216622,31.8
1691251216822,27.9
1691251387520,60.8
1691251387720,59.3
1691251387920,51.1
1691251388120,48.3
1691251388320,58.1
1691251388520,64.5
1691251388720,48.5
1691251388920,52.0
1691251389120,56.6
1691251389320,55.3
1691251389520,43.4
1691251389720,43.1
1691251389920,47.5
1691251390120,205.0
1691251390320,53.4
1691251390520,62.4
1691251390720,43.5
1691251390920,52.2
1691251391120,44.5
1691251391320,43.3
1691251391520,61.2
1691251391720,50.4
1691251391920,49.3
1691251392120,48.3
1691251392320,48.4
1691251392520,47.2
1691251392720,46.5
1691251392920,52.1
1691251393120,52.6
1691251393320,43.3
1691251393520,50.3
1691251393720,51.3
1691251393920,51.4
1691251394120,40.2
1691251394320,51.4
1691251394520,50.3
1691251394720,45.3
1691251394920,46.1
1691251395120,47.5
1691251395320,46.2
1691251395520,55.3
1691251395720,52.4
1691251395920,64.3
1691251396120,53.1
1691251396320,43.4
1691251396520,50.3
1691251396720,74.4
1691251396920,49.1
1691251397120,48.4
1691251397320,56.1
1691251397520,46.5
1691251397720,50.1
1691251397920,46.5
1691251398120,54.2
1691251398320,51.6
1691251398520,60.4
1691251398720,50.5
1691251398920,49.2
1691251399120,49.4
1691251399320,55.0
1691251399520,46.3
1691251399720,46.3
1691251399920,57.4
1691251400120,66.0
1691251400320,42.5
1691251400520,42.4
1691251400720,40.4
1691251400920,66.4
1691251401120,56.9
1691251401320,59.1
1691251401520,57.4
1691251401720,66.3
1691251401920,55.5
1691251402120,45.0
1691251402320,53.9
1691251402520,63.4
1691251402720,52.4
1691251402920,42.3
1691251403120,42.2
1691251403320,56.4
1691251403520,48.6
1691251403720,53.7
1691251403920,47.6
1691251404120,44.2
1691251404320,63.5
1691251404520,47.3
1691251404720,62.4
1691251404920,43.1
1691251405120,50.3
1691251405320,51.3
1691251405520,51.4
1691251405720,67.6
1691251405920,54.3
1691251406120,60.4
1691251406320,49.3
1691251406520,46.3
1691251406720,55.4
1691251406920,56.2
1691251407120,45.4
1691251407320,227.0
1691251407520,34.7
1691251407720,36.0
1691251407920,42.0
1691251408120,40.3
1691251408320,40.3
1691251408520,32.5
1691251408720,41.4
1691251408920,41.6
1691251409120,49.8
1691251409320,46.0
1691251409520,39.2
1691251409720,43.2
1691251409920,131.0
1691251410120,32.2
1691251410320,36.5
1691251410520,44.0
1691251410720,33.9
1691251410920,43.7
1691251411120,39.3
1691251411320,38.4
1691251411520,37.2
1691251411720,40.4
1691251411920,44.9
1691251412120,44.2
1691251412320,39.0
1691251412520,39.2
1691251412720,40.1
1691251412920,42.4
1691251413120,39.8
1691251413320,39.8
1691251413520,39.3
1691251413720,38.4
1691251413920,41.2
1691251414120,46.7
1691251414320,39.7
1691251414520,43.5
1691251414720,43.4
1691251414920,37.7
1691251415120,36.2
1691251415320,37.9
1691251415520,44.8
1691251415720,40.8
1691251415920,39.7
1691251416120,40.2
1691251416320,43.0
1691251416520,51.3
1691251416720,51.5
1691251416920,45.8
1691251417120,43.7
1691251417320,45.7
1691251701435,48.2
1691251701635,41.9
1691251701835,45.3
1691251702035,63.6
1691251702235,57.3
1691251702435,52.2
1691251702635,71.3
1691251702835,48.6
1691251703035,59.3
1691251703235,55.2
1691251703435,54.9
1691251703635,44.7
1691251703835,44.0
1691251704035,64.4
1691251704235,52.2
1691251704435,61.4
1691251704635,46.4
1691251704835,56.2
1691251705035,58.3
1691251705235,54.2
1691251705435,56.4
1691251705635,54.4
1691251705835,46.6
1691251706035,43.9
1691251706235,44.3
1691251706435,45.3
1691251706635,44.2
1691251706835,49.6
1691251707035,49.2
1691251707235,75.1
1691251707435,57.6
1691251707635,56.7
1691251707835,66.0
1691251708035,57.2
1691251708235,56.5
1691251708435,51.3
1691251708635,52.6
1691251708835,48.8
1691251709035,51.7
1691251709235,72.3
1691251709435,47.3
1691251709635,56.2
1691251709835,67.6
1691251710035,71.1
1691251710235,63.4
1691251710435,55.1
1691251710635,62.4
1691251710835,53.5
1691251711035,55.6
1691251711235,53.2
1691251711435,61.4
1691251711635,64.4
1691251711835,70.6
1691251712035,60.1
1691251712235,183.0
1691251712435,52.4
1691251712635,304.0
1691251712835,131.0
1691251713035,64.0
1691251713235,77.4
1691251713435,53.1
