Timestamp,Time (ms)
1691249087939,47.0
1691249088139,49.5
1691249088339,61.1
1691249088539,60.4
1691249088739,45.3
1691249088939,44.3
1691249089139,44.2
1691249089339,43.5
1691249089539,49.1
1691249089739,41.3
1691249089939,40.7
1691249090139,40.9
1691249090339,42.2
1691249090539,46.6
1691249090739,46.1
1691249090939,42.2
1691249091139,39.4
1691249091339,37.6
1691249091539,37.1
1691249091739,36.6
1691249091939,35.3
1691249092139,35.2
1691249092339,53.6
1691249092539,35.5
1691249092739,52.4
1691249092939,52.3
1691249093139,51.2
1691249093339,50.1
1691249093539,48.3
1691249093739,47.5
1691249093939,53.1
1691249094139,45.3
1691249094339,44.3
1691249094539,50.1
1691249094739,42.4
1691249094939,41.5
1691249095139,47.9
1691249095339,40.4
1691249095539,40.7
1691249095739,38.8
1691249095939,38.4
1691249096139,37.4
1691249096339,36.2
1691249096539,35.6
1691249096739,44.2
1691249096939,34.1
1691249097139,54.2
1691249097339,57.4
1691249097539,33.3
1691249097739,51.4
1691249097939,57.3
1691249098139,51.2
1691249098339,49.3
1691249098539,48.4
1691249098739,53.4
1691249098939,59.2
1691249099139,51.1
1691249099339,50.3
1691249099539,43.5
1691249099739,48.2
1691249099939,42.7
1691249100139,41.1
1691249100339,46.2
1691249100539,45.3
1691249100739,37.5
1691249100939,38.4
1691249101139,54.3
1691249101339,55.2
1691249101539,53.3
1691249101739,52.4
1691249101939,50.1
1691249102139,50.2
1691249102339,48.2
1691249102539,48.5
1691249102739,47.2
1691249102939,45.2
1691249103139,52.1
1691249103339,43.5
1691249103539,51.4
1691249103739,43.4
1691249103939,40.3
1691249104139,39.5
1691249104339,38.5
1691249104539,37.1
1691249104739,36.4
1691249104939,36.2
1691249105139,34.5
1691249105339,34.3
1691249105539,53.3
1691249105739,52.3
1691249105939,59.2
1691249106139,29.3
1691249106339,49.2
1691249106539,48.4
1691249106739,48.2
1691249106939,46.2
1691249107139,54.4
1691249107339,44.3
1691249107539,43.1
1691249107739,42.4
1691249107939,42.4
1691249108139,47.3
1691249108339,39.3
1691249108539,38.4
1691249108739,45.2
1691249108939,43.4
1691249109139,35.1
1691249109339,53.2
1691249109539,52.4
1691249109739,51.4
1691249109939,58.0
1691249110139,52.3
1691249110339,49.5
1691249110539,50.3
1691249110739,50.5
1691249110939,46.9
1691249111139,46.4
1691249111339,46.2
1691249111539,45.4
1691249111739,43.2
1691249111939,42.2
1691249112139,41.2
1691249112339,40.5
1691249112539,46.3
1691249112739,45.3
1691249112939,37.1
1691249113139,36.6
1691249113339,44.4
1691249113539,38.2
1691249113739,44.4
1691249113939,33.2
1691249114139,55.3
1691249114339,53.3
1691249114539,51.3
1691249114739,29.3
1691249114939,51.3
1691249115139,49.3
1691249115339,47.4
1691249115539,48.3
1691249115739,46.4
1691249115939,46.0
1691249116139,45.3
1691249116339,43.2
1691249116539,42.4
1691249116739,41.5
1691249116939,41.1
1691249117139,41.3
1691249117339,39.7
1691249117539,46.1
1691249117739,38.1
1691249623097,36.7
1691249623297,40.2
1691249623497,30.3
1691249623697,38.1
1691249623897,43.2
1691249624097,41.2
1691249624297,26.1
1691249624497,34.5
1691249624697,33.3
1691249624897,37.1
1691249625097,39.5
1691249625297,40.4
1691249625497,34.4
1691249625697,34.7
1691249625897,34.1
1691249626097,27.0
1691249626297,36.7
1691249626497,35.8
1691249626697,36.0
1691249626897,34.8
1691249627097,35.8
1691249627297,41.3
1691249627497,34.0
1691249627697,33.3
1691249627897,38.4
1691249628097,32.2
1691249628297,32.8
1691249628497,35.8
1691249628697,36.6
1691249628897,36.2
1691249629097,46.7
1691249629297,35.9
1691249629497,39.4
1691249629697,38.4
1691249629897,37.1
1691249630097,37.8
1691249630297,36.9
1691249630497,36.2
1691249630697,41.6
1691249630897,40.1
1691249631097,35.8
1691249631297,41.3
1691249631497,40.4
1691249631697,37.8
1691249631897,38.4
1691249632097,32.6
1691249632297,36.0
1691249632497,35.2
1691249632697,35.6
1691249632897,40.7
1691249633097,35.7
1691249633297,34.2
1691249633497,33.4
1691249633697,27.3
1691249633897,36.3
1691249634097,36.1
1691249634297,35.5
